POSITION,NAME OF CANDIDATE,PARTY,AGE,GENDER,HIGHEST QUALIFICATION
PRESIDENT,OSITELU  ISAAC BABATUNDE,A,64,M,MSc
VICE-,LAWAL NAFIU MUHAMMAD,A,33,M,BSc
PRESIDENT,ABDULRASHID HASSAN BABA,AA,46,M,SSCE
VICE-,UCHENDU UJU PEACE OZOKA,AA,49,F,LLB
PRESIDENT,OMOYELE SOWORE,AAC,47,M,SSCE
VICE-,RUFAI RABIU AHMED,AAC,42,M,MPH
PRESIDENT,CHIKE UKAEGBU,AAP,35,M,BSc
VICE-,SAFIYA IBRAHIM OGOH,AAP,47,F,BA
PRESIDENT,SHIPI MOSES GODIA,ABP,39,M,SSCE
VICE-,OKWUANYASI ABIOLA KIKA SHALIAT,ABP,44,F,BSc
PRESIDENT,NWOKEAFOR IKECHUKWU NDUBUISI,ACD,42,M,BSc
VICE-,ALI ABDULLAHI,ACD,65,M,BSc
PRESIDENT,EZEKWESILI OBIAGELI KATRYN,ACPN,55,F,PhD
VICE-,GALADIMA GANIYU OSENI,ACPN,54,M,HND
PRESIDENT,MAILAFIA OBADIAH,ADC,61,M,PhD
VICE-,NASIRU TANIMOWO NURAIN BOLANLE,ADC,65,M,PhD
PRESIDENT,YABAGI SANI YUSUF,ADP,64,M,BSc
VICE-,OLATERU OLAGBEGI MARTIN KUNLE,ADP,60,M,SSCE
PRESIDENT,NWACHUKWU CHUKS NWABUIKWU,AGA,53,M,LLM
VICE-,TIJJANI AISHA ALI,AGA,39,F,PGD
PRESIDENT,CHIEF UMENWA GODWIN,AGAP,54,M,SSCE
VICE-,IBRAHIM SAHEED OLAIKA,AGAP,43,M,SSCE
PRESIDENT,OBAJE YUSUFU AMEH,ANDP,69,M,PhD
VICE-,SULE OLALEKAN GANIYU,ANDP,54,M,BSc
PRESIDENT,DUROTOYE ADETOKUNBO OLUFELA,ANN,47,M,MBA
VICE-,ABDULLAHI KHADIJAH IYAH,ANN,44,F,MA
PRESIDENT,SHITTU MOSHOOD ASIWAJU,ANP,49,M,B.ENG
VICE-,OKERE EVELYN,ANP,43,F,SSCE
PRESIDENT,FASUA TOPE KOLADE,ANRP,47,M,MSc
VICE-,YAKUBU AMINU ZAKARI,ANRP,42,M,BSc
PRESIDENT,IBRAHIM ALIYU HASSAN,APA,51,M,PhD
VICE-,ADELEKE ADESOJI MASILO ADEREMI,APA,58,M,PGD
PRESIDENT,BUHARI MUHAMMADU,APC,75,M,SSCE
VICE-,OSINBAJO OLUYEMI OLULEKE,APC,61,M,LLM
PRESIDENT,SHITU MOHAMMED KABIR,APDA,51,M,SSCE
VICE-,OLAYEMI MEMUNAT MAHMUD,APDA,53,F,PhD
PRESIDENT,GBOR JOHN WILSON TERWASE,APGA,70,M,SSCE
VICE-,GERALD CHUKWUEKE NDUDI,APGA,61,M,BSc
PRESIDENT,YUSUF MAMMAN DANTALLE,APM,46,M,BSc
VICE-,PRINCE DURU NWABUEZE,APM,43,M,BSc
PRESIDENT,OBINNA UCHECHUKWU IKEAGWUONU,APP,38,M,SSCE
VICE-,OMOTOSHO EMMANUEL,APP,39,M,SSCE
PRESIDENT,DARA JOHN,ASD,63,M,MBA
VICE-,ABUBAKAR SALISU,ASD,60,M,OND
PRESIDENT,ANGELA JOHNSON,AUN,59,F,LLB
VICE-,ZAYYANU ABUBAKAR,AUN,40,M,BA
PRESIDENT,DAVID ESOSA IZE-IYAMU,BNPP,52,M,BA
VICE-,KOFAR MATA MARYAM UMAR,BNPP,39,F,PGD
PRESIDENT,OJINIKA GEFF CHIZEE,C4C,57,M,OND
VICE-,YAKUBU USMAN UBA,C4C,43,M,NCE
PRESIDENT,ABAH LEWIS ELAIGWU,CAP,48,M,SSCE
VICE-,OMOHIMUA MICHAEL OKOJIE,CAP,43,M,BSc
PRESIDENT,ETIM EMMANUEL ISHIE,CNP,38,M,LLM
VICE-,ADEOLA ZAINAB HAZZAN,CNP,39,F,NCE
PRESIDENT,UKONGA FRANK,DA,58,M,MBA
VICE-,MUSA SAIDU SHUAIBU,DA,37,M,HND
PRESIDENT,AWOSOLA WILLIAMS OLUSOLA,DPC,58,M,OND
VICE-,SEIYEFA  FETEPIGI,DPC,46,F,BSc
PRESIDENT,OSAKWE FELIX JOHNSON,DPP,54,M,BA
VICE-,MOHAMMED ALH ALI,DPP,42,M,SSCE
PRESIDENT,REV. (DR) ONWUBUYA,FJP,47,M,PhD
VICE-,AHMAD MUHAMMAD NOURAYNI,FJP,64,M,HND
PRESIDENT,OKOTIE CHRISTOPHER OGHENEBRORIE,FRESH,60,M,LLB
VICE-,BINUTU ADEFELA AKINOLA,FRESH,57,M,BA
PRESIDENT,AKHIMIEN DAVIDSON ISIBOR,GDPN,53,M,PhD
VICE-,HAMMAN IBRAHIM MODIBBO,GDPN,56,M,BA
PRESIDENT,EKE SAMUEL CHUKWUMA,GPN,48,M,PhD
VICE-,MUSA HADIZA ARUWA,GPN,42,F,HND
PRESIDENT,ALBERT OWURU AMBROSE,HDP,56,M,LLB
VICE-,YAHAYA SHABA HARUNA,HDP,42,M,HND
PRESIDENT,MADU NNAMDI EDOZIE,ID,48,M,SSCE
VICE-,ADAMU ABUBAKAR,ID,41,M,SSCE
PRESIDENT,CHUKWU-EGUZOLUGO SUNDAY CHIKENDU,JMPP,46,M,SSCE
VICE-,SALIHU IMAN ALIYU,JMPP,44,M,OND
PRESIDENT,FAGBENRO-BYRON SAMUEL ADESINA,KP,59,M,PhD
VICE-,ADO UMMAR ABBAS,KP,54,F,PhD
PRESIDENT,KRIZ DAVID,LM,44,M,PhD
VICE-,AZAEL VASHI CHECHERA,LM,35,F,Btech
PRESIDENT,MUHAMMED USMAN ZAKI,LP,69,M,BSc
VICE-,AKPAN TOM EZEKIEL,LP,42,M,SSCE
PRESIDENT,ADESANYA-DAVIES MERCY OLUFUNMILAYO,MAJA,56,F,PhD
VICE-,IBENEME ANTHONY IFESINACHI,MAJA,43,M,BA
PRESIDENT,BASHAYI ISA DANSARKI,MMN,43,M,SSCE
VICE-,ADEPOJU OLUWATOYIN GRACE,MMN,35,F,HND
PRESIDENT,SANTURAKI HAMISU,MPN,44,M,BSc
VICE-,UFONDU CHINWE FLORENCE,MPN,45,F,NCE
PRESIDENT,RABIA YASAI HASSAN CENGIZ,NAC,66,F,MA
VICE-,UHUEGBU CHINEME JUSTICE,NAC,44,M,LLB
PRESIDENT,ADEMOLA BABATUNDE ABIDEMI,NCMP,37,M,HND
VICE-,TATAJI AISHA ASABE,NCMP,51,F,SSCE
PRESIDENT,SALISU YUNUSA TANKO,NCP,48,M,MBA
VICE-,JAMES FUNMI,NCP,53,F,SSCE
PRESIDENT,A. EDOSOMWAN  JOHNSON,NDCP,64,M,SSCE
VICE-,NASIRU MOHAMMED,NDCP,51,M,MSc
PRESIDENT,AKPUA ROBINSON,NDLP,39,M,LLB
VICE-,AHAMADU UMARU,NDLP,49,M,SSCE
PRESIDENT,COM. ISHAKA PAUL OFEMILE,NEPP,60,M,OND
VICE-,VINCENT AKINFELAMI AKINBANAI,NEPP,46,M,BA
PRESIDENT,DR ASUKWO MENDIE ARCHIBONG,NFD,50,M,PhD
VICE-,MRS ITE  DONALD-EKPO,NFD,41,F,BA
PRESIDENT,ATUEJIDE  EUNICE UCHE JULIAN,NIP,40,F,LLB
VICE-,BELLO  MUHAMMAD JIBRIL,NIP,39,M,LLB
PRESIDENT,IKE KEKE,NNPP,39,M,BPHIL
VICE-,JOHNSON OMEDE,NNPP,30,M,LLB
PRESIDENT,MAINA MAIMUNA KYARI,NPC,41,F,NCE
VICE-,OLUWOLE YETUNDE FOLAKE,NPC,44,F,LLB
PRESIDENT,IBRAHIM USMAN ALHAJI,NRM,48,M,BSc
VICE-,NWAFOR-ORIZU ONWA,NRM,45,M,MA
PRESIDENT,MOSES AYIBIOWU,NUP,45,M,MBA
VICE-,IDOKO MICHAEL EMAIKU,NUP,46,M,BSc
PRESIDENT,FELIX NICOLAS,PCP,37,M,OND
VICE-,ADO BABA,PCP,49,M,BSc
PRESIDENT,ABUBAKAR ATIKU,PDP,71,M,OND
VICE-,OBI PETER,PDP,57,M,BA
PRESIDENT,AMEH PETER OJONUGWA,PPA,41,M,BSc
VICE-,EDUN KEHINDE,PPA,53,M,LLB
PRESIDENT,VICTOR OKHAI,PPC,52,M,BA
VICE-,IYAN TAMA HAMISU LAMIDO,PPC,52,M,OND
PRESIDENT,MAJOR HAMZA AL MUSTAFA,PPN,58,M,SSCE
VICE-,OPARA ROBERT,PPN,53,M,SSCE
PRESIDENT,GBENGA OLAWEPO-HASHIM,PT,49,M,BSc
VICE-,AGWUNCHA NWANKWO ARTHUR,PT,76,M,PhD
PRESIDENT,"ISRAEL NONYEREM DAVIDSON, DR.",RAP,59,M,PhD
VICE-,HASSAN DAWUD JIDDA,RAP,31,M,MSc
PRESIDENT,OSUALA CHUKWUDI JOHN KENNEDY,RBNP,59,M,HND
VICE-,MUHAMMAD ALHAJI FALALI,RBNP,56,M,NCE
PRESIDENT,NSEHE NSEOBONG,RP,33,M,BSc
VICE-,ABUH MOHAMMED,RP,44,M,OND
PRESIDENT,DA-SILVA THOMAS AYO,SNC,56,M,HND
VICE-,MUHAMMAD AISHA ABUBAKAR,SNC,54,F,HND
PRESIDENT,AHMED BUHARI,SNP,36,M,SSCE
VICE-,NWAGU KINGSLEY PHILIP,SNP,38,M,MBA
PRESIDENT,BALOGUN ISIAKA ISHOLA,UDP,59,M,OND
VICE-,SHUAIBU MUHAMMAD,UDP,49,M,BSc
PRESIDENT,MARK EMMANUEL AUDU,UP,46,M,BSc
VICE-,OKEKE MOSES,UP,72,M,MSc
PRESIDENT,INWA AHMED SAKIL,UPN,62,M,HND
VICE-,NKWOCHA ECHEMOR NKWOCHA,UPN,59,M,HND
PRESIDENT,NWANGWU UCHENNA PETER,WTPN,69,M,PhD
VICE-,ADEBIWALE OLAUREWAJU ODUNLADE,WTPN,58,M,PGD
PRESIDENT,ALI SOYODE M,YES,55,M,OND
VICE-,ABDULLAHI BALKISU MUSTAPHA,YES,42,F,OND
PRESIDENT,MOGHALU KINGSLEY BOSAH CHIEDU,YPP,55,M,LLB
VICE-,ABDULLAHI UMMA GETSO,YPP,37,F,HND
